course,description,level,rate,language
g suite administrator fundamentals,"G Suite Administrator Fundamentals serves as the starting place for any new G Suite admin as they begin their journey of managing and establishing G Suite best practices for their organization.  This 15-30 hour accelerated one week course will leave you feeling confident to utilize the basic functions of the Admin Console to manage users, control access to services, configure common security settings, and much more.

Through a series of in-product training lessons, step-by-step hands-on exercises, and knowledge checks, learners can expect to leave this training with all of the skills they need to get started as G Suite administrators.

Learning Objectives

By the end of this course participants will be able to:
• Describe the basic organizational benefits to using G Suite services for collaboration and technical deployment.
• Setup G Suite Accounts, and access and navigate the G Suite Admin Console.
• Provision and manage their G Suite users
• Add, use, and manage G Suite organizations
• Manage G Suite services such as Calendar, Gmail, and Drive
• Establish fundamental security practices
• Find help center resources and further resources to help guide the new admin after the training.

Prerequisites

To get the most out of this training course, learners should be prepared to: 
• Install and be ready to use the latest version of Chrome web browser available at https://www.google.com/chrome/
• Use an existing domain or purchase a new domain through a registrar such as Google, GoDaddy, enom, etc...",Beginner Level,4.7,English
functional programming principles in scala,"Functional programming is becoming increasingly widespread in industry. This trend is driven by the adoption of Scala as the main programming language for many applications. Scala fuses functional and object-oriented programming in a practical package. It interoperates seamlessly with both Java and Javascript. Scala is the implementation language of many important frameworks, including Apache Spark, Kafka, and Akka. It provides the core infrastructure for sites such as Twitter, Tumblr and also Coursera.

In this course you will discover the elements of the functional programming style and learn how to apply them usefully in your daily programming tasks. You will also develop a solid foundation for reasoning about functional programs, by touching upon proofs of invariants and the tracing of execution symbolically.

The course is hands on; most units introduce short programs that serve as illustrations of important concepts and invite you to play with them, modifying and improving them. The course is complemented by a series programming projects as homework assignments.

Recommended background: You should have at least one year programming experience. Proficiency with Java or C# is ideal, but experience with other languages such as C/C++, Python, Javascript or Ruby is also sufficient. You should have some familiarity using the command line.",Mixed Level,4.8,English
"excel/vba for creative problem solving, part 1","""Excel/VBA for Creative Problem Solving, Part 1"" is aimed at learners who are seeking to augment, expand, optimize, and increase the efficiency of their Excel spreadsheet skills by tapping into the powerful programming, automation, and customization capabilities available with Visual Basic for Applications (VBA).  

This course is the first part of a three-part series and Specialization that focuses on the application of computing techniques in Excel/VBA to solve problems.  In this course (Part 1), you will: 1) create macros to automate procedures in Excel; 2) define your own user-defined functions; 3) create basic subroutines to interface with the user; 4) learn the basic programming structures in VBA; and 5) automate Excel’s Goal Seek and Solver tools and use numerical techniques to create “live solutions” to solve targeting and optimization problems.

New to computer programming?  The extremely intuitive and visual nature of VBA lends itself nicely to teaching and learning - what a fun way to learn to code!  No prior knowledge in programming nor advanced math skills are necessary yet seasoned programmers will pick up new and creative spreadsheet problem solving strategies.

After you have learned the basics of VBA, each module will introduce foundational and broad problems inspired by situations that you might encounter in the real world.  To pass each module, you'll need to pass a mastery quiz and complete a problem solving assignment.  This course is unique in that the weekly assignments are completed in-application (i.e., on your own computer in Excel), providing you with valuable hands-on training.",Beginner Level,4.9,English
learn to program: the fundamentals,"Behind every mouse click and touch-screen tap, there is a computer program that makes things happen. This course introduces the fundamental building blocks of programming and teaches you how to write fun and useful programs using the Python language.",Beginner Level,4.7,English
blockchain basics,"This first course of the Blockchain specialization provides a broad overview of the essential concepts of blockchain technology – by initially exploring the Bitcoin protocol followed by the Ethereum protocol – to lay the foundation necessary for developing applications and programming. You will be equipped with the knowledge needed to create nodes on your personal Ethereum blockchain, create accounts, unlock accounts, mine, transact, transfer Ethers, and check balances.       

You will learn about the decentralized peer-to-peer network, an immutable distributed ledger and the trust model that defines a blockchain. This course enables you to explain basic components of a blockchain (transaction, block, block header, and the chain) its operations (verification, validation, and consensus model) underlying algorithms, and essentials of trust (hard fork and soft fork). Content includes the hashing and cryptography foundations indispensable to blockchain programming, which is the focus of two subsequent specialization courses, Smart Contracts and Decentralized Applications (Dapps). You will work on a virtual machine image, specifically created for this course, to build an Ethereum test chain and operate on the chain. This hands-on activity will help you understand the workings of a blockchain, its transactions, blocks and mining.

Main concepts are delivered through videos, demos and hands-on exercises.",Mixed Level,4.6,English
"c++ for c programmers, part a",This course is for experienced C programmers who want to program in C++. The examples and exercises require a basic understanding of algorithms and object-oriented software.,Mixed Level,4.4,English
cybersecurity and its ten domains,"This course is designed to introduce students, working professionals and the community to the exciting field of cybersecurity. Throughout the MOOC, participants will engage in community discourse and online interaction. Participants will gain knowledge and understanding of cybersecurity and its domains. They will engage with expertly produced videos, gain insight from industry experts, participate in knowledge assessments, practice assessing their environmental awareness, and gain access to materials that address governance and risk management, compliance, business continuity and disaster recovery, cryptography, software development security, access control, network security, security architecture, security operations, and physical and environmental security. Learning will be assessed using strategies aligned to knowledge and understanding. 

You do not need prior experience in IT security to do well in this course. All you need is a willingness to learn. We will point you to relevant open and free resources to assist you.

At the end of this course, you will have the option of applying for undergraduate level course credit at Kennesaw State University (dependent on admission to Kennesaw State University as a degree seeking or a non-degree seeking student). More information is available in final module ""Receive Course (undergraduate) Credit at Kennesaw State University"".",Beginner Level,4.2,English
python programming: a concise introduction,"The goal of the course is to introduce students to Python Version 3.x programming using hands on instruction. It will show how to install Python and use the Spyder IDE (Integrated Development Environment) for writing and debugging programs. The approach will be to present an example followed by a small exercise where the learner tries something similar to solidify a concept.  At the end of each module there will be an exercise where the student is required to write simple programs and submit them for grading.  It is intended for students with little or no programming background, although students with such a background should be able to move forward at their preferred pace.

The course is four modules long and is designed to be completed in four weeks.",Beginner Level,4.6,English
"programming languages, part a","This course is an introduction to the basic concepts of programming languages, with a strong emphasis on functional programming. The course uses the languages ML, Racket, and Ruby as vehicles for teaching the concepts, but the real intent is to teach enough about how any language “fits together” to make you more effective programming in any language -- and in learning new ones.

This course is neither particularly theoretical nor just about programming specifics -- it will give you a framework for understanding how to use language constructs effectively and how to design correct and elegant programs. By using different languages, you will learn to think more deeply than in terms of the particular syntax of one language. The emphasis on functional programming is essential for learning how to write robust, reusable, composable, and elegant programs. Indeed, many of the most important ideas in modern languages have their roots in functional programming. Get ready to learn a fresh and beautiful way to look at software and how to have fun building it.

The course assumes some prior experience with programming, as described in more detail in the first module.

The course is divided into three Coursera courses: Part A, Part B, and Part C.  As explained in more detail in the first module of Part A, the overall course is a substantial amount of challenging material, so the three-part format provides two intermediate milestones and opportunities for a pause before continuing.  The three parts are designed to be completed in order and set up to motivate you to continue through to the end of Part C.  The three parts are not quite equal in length: Part A is almost as substantial as Part B and Part C combined.

Week 1 of Part A has a more detailed list of topics for all three parts of the course, but it is expected that most course participants will not (yet!) know what all these topics mean.",Intermediate Level,4.9,English
python programming essentials,"This course will introduce you to the wonderful world of Python programming!  We'll learn about the essential elements of programming and how to construct basic Python programs. We will cover expressions, variables, functions, logic, and conditionals, which are foundational concepts in computer programming. We will also teach you how to use Python modules, which enable you to benefit from the vast array of functionality that is already a part of the Python language. These concepts and skills will help you to begin to think like a computer programmer and to understand how to go about writing Python programs.

By the end of the course, you will be able to write short Python programs that are able to accomplish real, practical tasks. This course is the foundation for building expertise in Python programming. As the first course in a specialization, it provides the necessary building blocks for you to succeed at learning to write more complex Python programs.

This course uses Python 3.  While many Python programs continue to use Python 2, Python 3 is the future of the Python programming language. This first course will use a Python 3 version of the CodeSkulptor development environment, which is specifically designed to help beginning programmers learn quickly.  CodeSkulptor runs within any modern web browser and does not require you to install any software, allowing you to start writing and running small programs immediately.  In the later courses in this specialization,  we will help you to move to more sophisticated desktop development environments.",Beginner Level,4.8,English
usable security,"This course focuses on how to design and build secure systems with a human-centric focus. We will look at basic principles of human-computer interaction, and apply these insights to the design of secure systems with the goal of developing security measures that respect human performance and their goals within a system.",Mixed Level,4.5,English
building cloud services with the java spring framework,"This MOOC describes by example how to build cloud services via the use of object-oriented design techniques; Java programming language features; Java Servlets, the Java Spring Framework; and cloud computing platforms, such as Amazon Web Services.  Due to the importance of building secure and scalable mobile/cloud platforms, this MOOC will not only show you how to build cloud services, but how to do so securely, scalably, and efficiently. Security and scalability topics will be woven into discussions of cloud service creation so that students learn, from the start, how to create robust cloud services.",Mixed Level,5,English
"greedy algorithms, minimum spanning trees, and dynamic programming","The primary topics in this part of the specialization are: greedy algorithms (scheduling, minimum spanning trees, clustering, Huffman codes) and dynamic programming (knapsack, sequence alignment, optimal search trees).",Intermediate Level,4.8,English
agile planning for software products,"This course covers the techniques required to break down and map requirements into plans that will ultimately drive software production.

Upon successful completion of this course, you will be able to:

- Create effective plans for software development
- Map user requirements to developer tasks
- Assess and plan for project risks
- Apply velocity-driven planning techniques
- Generate work estimates for software products",Mixed Level,4.7,English
foundations of objective-c app development,"An introduction to the Objective-C programming language.  This will prepare you for more extensive iOS app development and build a foundation for advanced iOS development topics.

Objective-C programming requires a Mac laptop or desktop computer.  An iOS device is optional if the learner is willing to working exclusively with the simulator.  Some learners have been able to work with an OS X virtual machine on Windows, but explaining how to do that is beyond the scope of this course.

Upon completing this course, you will be able to:
1.       Read and write Objective-C
2.       Have a strong grasp of Objective-C objects
3.       Organize their code professionally using objects and blocks
4.       Prototype several entry-level apps",Mixed Level,4.7,English
software design as an element of the software development lifecycle,"This course talks about software development lifecycles a description/prescription for how we write software.  Design is a step in this life cycle, and the course explores the implications of this.  Design has a role in the life cycle; it is always there, regardless of the kind of life cycle we’re talking about.  Why is that?  Why was design considered as a step in this life cycle?",Mixed Level,4.7,English
bitcoin and cryptocurrency technologies,"To really understand what is special about Bitcoin, we need to understand how it works at a technical level. We’ll address the important questions about Bitcoin, such as:

How does Bitcoin work? What makes Bitcoin different? How secure are your Bitcoins? How anonymous are Bitcoin users? What determines the price of Bitcoins? Can cryptocurrencies be regulated? What might the future hold?

After this course, you’ll know everything you need to be able to separate fact from fiction when reading claims about Bitcoin and other cryptocurrencies. You’ll have the conceptual foundations you need to engineer secure software that interacts with the Bitcoin network. And you’ll be able to integrate ideas from Bitcoin in your own projects.

Course Lecturers:
Arvind Narayanan, Princeton University


All the features of this course are available for free.  It does not offer a certificate upon completion.",Mixed Level,4.7,English
introduction to graph theory,"We invite you to a fascinating journey into Graph Theory — an area which connects the elegance of painting and the rigor of mathematics;  is simple, but not unsophisticated. Graph Theory gives us, both an easy way to pictorially represent many major mathematical results, and insights into the deep theories behind them. 

In this course, among other intriguing applications, we will see how GPS systems find shortest routes, how engineers design integrated circuits, how biologists assemble genomes, why a political map can always be colored using a few colors. We will study Ramsey Theory which proves that in a large system, complete disorder is impossible! 

By the end of the course, we will implement an algorithm which finds an optimal assignment of students to schools. This algorithm, developed by David Gale and Lloyd S. Shapley, was later recognized by the conferral of Nobel Prize in Economics.

As prerequisites we assume only basic math (e.g., we expect you to know what is a square or how to add fractions), basic programming in python (functions, loops, recursion), common sense and curiosity. Our intended audience are all people that work or plan to work in IT, starting from motivated high school students.",Beginner Level,4.6,English
"philosophy, science and religion: science and philosophy","Philosophy, Science and Religion mark three of the most fundamental modes of thinking about the world and our place in it. Are these modes incompatible? Put another way: is the intellectually responsible thing to do to ‘pick sides’ and identify with one of these approaches at the exclusion of others? Or, are they complementary or mutually supportive? As is typical of questions of such magnitude, the devil is in the details. For example, it is important to work out what is really distinctive about each of these ways of inquiring about the world. In order to gain some clarity here, we’ll be investigating what some of the current leading thinkers in philosophy, science and religion are actually doing.

This course, entitled ‘Science and Philosophy’, is the first of three related courses in our Philosophy, Science and Religion Online series. The first launch is now closed to enrolments. We will launch a new version of the course in July 2018. The course will address four themes each presented by guest lecturers:

1. Are Science and Religion in conflict? (Professor Michael Murray, Franklin & Marshall)
2. Neuroscience and Free Will (Professor Al Mele, Florida State)
3. Creationism and Evolutionary Biology--Science or Pseudo-science? (Dr. Mark Harris and Dr. David de Pomerai, University of Edinburgh)
4. Do Scientific claims constitute absolute truths? (Professor Martin Kusch, University of Vienna)

The second and third courses in the Philosophy, Science and Religion series are ‘Philosophy and Religion’ and ‘Religion and Science’. They may be taken in any order and completing all three courses will give you a broader understanding of this fascinating topic. Look for: 

• Philosophy, Science and Religion II: Philosophy and Religion
• Philosophy, Science and Religion III: Religion and Science

Check out our trailer to hear more: https://youtu.be/OifqTI5VKek
You can also follow us on Twitter at https://twitter.com/EdiPhilOnline and you can follow the hashtag #psrmooc",Beginner Level,4.3,English
"philosophy, science and religion: philosophy and religion","Philosophy, Science and Religion mark three of the most fundamental modes of thinking about the world and our place in it. Are these modes incompatible? Put another way: is the intellectually responsible thing to do to ‘pick sides’ and identify with one of these approaches at the exclusion of others? Or, are they complementary or mutually supportive? As is typical of questions of such magnitude, the devil is in the details. For example, it is important to work out what is really distinctive about each of these ways of inquiring about the world. In order to gain some clarity here, we’ll be investigating what some of the current leading thinkers in philosophy, science and religion are actually doing.

This course, entitled ‘Philosophy and Religion’, is the second of three related courses in our Philosophy, Science and Religion Online series, and in this course we will ask important questions about the age-old debate between science and religion, such as:
 
•  What kind of conflicts are there between religion and science?
•  Does current cognitive science of religion effectively explain away God?
•  If there is a God who has made us so that we can know him, why do some people not believe?
•  Is belief in science also a kind of fundamentalism?
•  What makes us good at getting, giving, or sharing, knowledge? Is this different when it is religious knowledge?

The first course in the Philosophy, Science and Religion series, 'Science and Philosophy' was launched early in 2017 and you can sign up to it at any time. The third course —‘Religion and Science’—will be launched early in 2018. Completing all three courses will give you a broader understanding of this fascinating topic. Look for: 

• Philosophy, Science and Religion I: Science and Philosophy https://www.coursera.org/learn/philosophy-science-religion-1/
• Philosophy, Science and Religion III: Religion and Science

Upon successful completion of all three courses, students will:

(1) Understand the main parameters at stake in the current debate between science and religion.
(2) Have some familiarity with the relevant areas of science that feature in the debate—including cosmology, evolution, and the neurosciences—and will have begun to engage with them conceptually.
(3) Have encountered key philosophical approaches to the interface between science and religion, and will have had the opportunity to engage them in practice.
(4) Have embarked constructively in cross-disciplinary conversations.
(5) Have demonstrated an openness to personal growth through a commitment to dialogue across intellectual and spiritual boundaries.

You can also follow us on Twitter at https://twitter.com/EdiPhilOnline and you can follow the hashtag #psrmooc",Beginner Level,4.6,English
"philosophy, science and religion: religion and science","Philosophy, Science and Religion mark three of the most fundamental modes of thinking about the world and our place in it. Are these modes incompatible? Put another way: is the intellectually responsible thing to do to ‘pick sides’ and identify with one of these approaches at the exclusion of others? Or, are they complementary or mutually supportive? As is typical of questions of such magnitude, the devil is in the details. For example, it is important to work out what is really distinctive about each of these ways of inquiring about the world. In order to gain some clarity here, we’ll be investigating what some of the current leading thinkers in philosophy, science and religion are actually doing.

This course, entitled ‘Religion and Science’, is the third of three related courses in our Philosophy, Science and Religion Online series. The course will address five themes, each presented by an expert in the area. 

1. Science, Religion, and the Origin of the Universe (Professor Tim Maudlin, NYU )
2. Buddhism and Science (Professor Graham Priest, CUNY)
3. Evolution and Design (Dr Kevin Scharp, St Andrews)
4. Sin Suffering and Salvation: Evolutions Thorny Issues (Dr Bethany Sollereder, Oxford)
5. Human Uniqueness in Science, Theology, and Ethics (Professor David Clough, Chester)

The first and second courses in the Philosophy, Science and Religion series, 'Science and Philosophy' and 'Philosophy and Religion' were launched in 2017 and you can sign up to these at any time. It is not necessary to have completed these courses to follow this course. However, completing all three courses will give you a broader understanding of this fascinating topic. Look for: 

• Philosophy, Science and Religion I: Science and Philosophy - https://www.coursera.org/learn/philosophy-science-religion-1
• Philosophy, Science and Religion II: Philosophy and Religion - https://www.coursera.org/learn/philosophy-science-religion-2

Upon successful completion of all three courses, students will:

(1) Understand the main parameters at stake in the current debate between science and religion.
(2) Have some familiarity with the relevant areas of science that feature in the debate—including cosmology, evolution, and the neurosciences—and will have begun to engage with them conceptually.
(3) Have encountered key philosophical approaches to the interface between science and religion, and will have had the opportunity to engage them in practice.
(4) Have embarked constructively in cross-disciplinary conversations.
(5) Have demonstrated an openness to personal growth through a commitment to dialogue across intellectual and spiritual boundaries.

You can also follow us on Twitter at https://twitter.com/EdiPhilOnline and you can follow the hashtag #psrmooc",Beginner Level,4.5,English
teaching science at university,"This course will prepare you for teaching science in higher education. In this MOOC you will learn to make your knowledge as an excellent researcher accessible to your students. We will show you how to communicate science to novices as well as advanced students in science. You will experience the value of teaching with analogies and you will be guided to train your students' competences. Based on up-to-date findings from research into teaching and learning science you will be able to
- implement evidence-based strategies into your own teaching,
- use students everyday-conceptions for the development of courses,
- prepare analogies and models to teach in your field,
- implement problem-based teaching,
- set up for experiments and teach the nature of science.

This course enables you to teach abstract science topics to your students and make them become active and successful learners. The course is based on lectures (videos), handouts (knowledge-to practice briefs), which supplement the knowledge taught in the lectures and assignments to implement the teaching strategies into your own practice.",Beginner Level,4.4,English
the brain and space,"This course is about how the brain creates our sense of spatial location from a variety of sensory and motor sources, and how this spatial sense in turn shapes our cognitive abilities.

Knowing where things are is effortless.  But “under the hood,” your brain must figure out even the simplest of details about the world around you and your position in it.  Recognizing your mother, finding your phone, going to the grocery store, playing the banjo – these require careful sleuthing and coordination across different sensory and motor domains.  This course traces the brain’s detective work to create this sense of space and argues that the brain’s spatial focus permeates our cognitive abilities, affecting the way we think and remember.

The material in this course is based on a book I've written for a general audience.  The book is called ""Making Space: How the Brain Knows Where Things Are"", and is available from Amazon, Barnes and Noble, or directly from Harvard University Press. 

The course material overlaps with classes on perception or systems neuroscience, and can be taken either before or after such classes.

Dr. Jennifer M. Groh, Ph.D.
Professor
Psychology & Neuroscience; Neurobiology
Duke University
 www.duke.edu/~jmgroh

Jennifer M. Groh is interested in how the brain process spatial information in different sensory systems, and how the brain's spatial codes influence other aspects of cognition.  She is the author of a recent book entitled ""Making Space:  How the Brain Knows Where Things Are"" (Harvard University Press, fall 2014).

Much of her research concerns differences in how the visual and auditory systems encode location, and how vision influences hearing.  Her laboratory has demonstrated that neurons in auditory brain regions are sometimes responsive not just to what we hear but also to what direction we are looking and what visual stimuli we can see.  These surprising findings challenge the prevailing assumption that the brain’s sensory pathways remain separate and distinct from each other at early stages, and suggest a mechanism for such multi-sensory interactions as lip-reading and ventriloquism (the capture of perceived sound location by a plausible nearby visual stimulus).

Dr. Groh has been a professor at Duke University since 2006.  She received her undergraduate degree in biology from Princeton University in 1988 before studying neuroscience at the University of Michigan (Master’s, 1990), the University of Pennsylvania (Ph.D., 1993), and Stanford University (postdoctoral, 1994-1997).  Dr. Groh has been teaching undergraduate classes on the neural basis of perception and memory for over fifteen years.  She is presently a faculty member at the Center for Cognitive Neuroscience and the Duke Institute for Brain Sciences at Duke University.  She also holds appointments in the Departments of Neurobiology and Psychology & Neuroscience at Duke.

Dr. Groh’s research has been supported by a variety of sources including the John S. Guggenheim Foundation, the National Institutes of Health, the National Science Foundation, and the Office of Naval Research Young Investigator Program, the McKnight Endowment Fund for Neuroscience, the John Merck Scholars Program, the EJLB Foundation, the Alfred P. Sloan Foundation, the Whitehall Foundation, and the National Organization for Hearing Research.",Beginner Level,4.7,English
cryptography i,"Cryptography is an indispensable tool for protecting information in computer systems. In this course you will learn the inner workings of cryptographic systems and how to correctly use them in real-world applications. The course begins with a detailed discussion of how two parties who have a shared secret key can communicate securely when a powerful adversary eavesdrops and tampers with traffic. We will examine many deployed protocols and analyze mistakes in existing systems. The second half of the course discusses public-key techniques that let two parties generate a shared secret key. Throughout the course participants will be exposed to many exciting open problems in the field and work on fun (optional) programming projects. In a second course (Crypto II) we will cover more advanced cryptographic tasks such as zero-knowledge, privacy mechanisms, and other forms of encryption.",Mixed Level,4.8,English
ibm blockchain foundation for developers,"If you're a software developer and new to blockchain, this is the course for you. Several experienced IBM blockchain developer advocates will lead you through a series of videos that describe high-level concepts, components, and strategies on building blockchain business networks. You'll also get hands-on experience modeling and building blockchain networks as well as create your first blockchain application. 

The first part of this course covers basic concepts of blockchain, and no programming skills are required. However, to complete three of the four labs, you must understand basic software object-oriented programming and how to use the command line. It's also helpful, but not required, that you can write code in JavaScript. 

When you complete the course, you should understand what a blockchain business network is, how to build and model a simple blockchain solution, and the role of the developer in creating blockchain applications. 

If you choose to take this course and earn the Coursera course certificate, you will also earn an IBM digital badge upon successful completion of the course.  You'll need to pass several end-of-section quizzes and a final exam that include multiple choice, true and false, and fill in the blank questions. 

This course does not cover Bitcoin or cryptocurrency in detail.",Intermediate Level,4.5,English
astronomy: exploring time and space,This course is designed for anyone who is interested in learning more about modern astronomy. We will help you get up to date on the most recent astronomical discoveries while also providing support at an introductory level for those who have no background in science.,Beginner Level,4.8,English
fundamentals of immunology: innate immunity and b-cell function,"Course 1 of a three course specialization called Fundamentals of Immunology. Each course in the specialization presents material that builds on the previous course's material.

This is the first leg of a three-part journey through the defenses your body uses to keep you healthy. In this part we hope to give you the vocabulary and concepts you need to interact with the medical community and to provide them in a context that makes them memorable.

Fundamentals of Immunology introduces students to the basic functions of the adaptive and innate immune systems. The early lectures survey cells, tissues and organs using metaphors, cartoons and models to improve understanding and retention. After describing the form, function, origin and varieties of antibodies, subsequent lectures provide details on the mechanism of the generation of variation. The course provides animations of gene rearrangement and class switching and descriptions of affinity maturation correlated with detailed physical models of antibody structure. The final lecture reviews these concepts in anatomical context. Testing employs multiple choice questions testing facts, concepts, and application of principles. Questions may refer to diagrams, drawing and photographs used in lecture and reproduced in the outline.

What You’ll Learn:
The difference between adaptive and innate immune systems, the characteristics of various pathogens that they protect you from and the overall strategies employed in this protection. The detailed structure of antibodies and related immunoglobulin receptors, the characteristics and function of the different antibody classes and the mechanism for producing both the recognition regions and stem regions.  Finally, how these structures are coded for in the DNA and expressed in the B cells.",Intermediate Level,4.6,English
"sleep: neurobiology, medicine, and society","The objective of this course is to give students the most up-to-date information on the biological, personal, and societal relevance of sleep. Personal relevance is emphasized by the fact that the single best predictor of daytime performance is the quality of the previous night's sleep. The brain actively generates sleep, and the first section of the course is an overview of the neurobiological basis of sleep control. The course provides cellular-level understanding of how sleep deprivation, jet lag, and substances such as alcohol, ,caffeine, and nicotine alter sleep and wakefulness. The second section of the course covers sleep-dependent changes in physiology and sleep disorders medicine. Particular emphasis will be placed on disorders of excessive sleepiness, insomnia, and sleep-dependent changes in autonomic control. Chronic sleep deprivation impairs immune function and may promote obesity. Deaths due to all causes are most frequent between 4:00 and 6:00 a.m., and this second section of the class highlights the relevance of sleep for preventive medicine. The societal relevance of sleep will be considered in the final section of the class. In an increasingly complex and technologically oriented society, operator-error by one individual can have a disastrous negative impact on public health and safety.  Fatigue-related performance decrements are known to have contributed as causal factors to nuclear power plant failures, transportation disasters, and medical errors.",Beginner Level,4.8,English
advances in stem cell biology,"Stem cells have the spectacular ability to restore the function of damaged tissues, providing major opportunities for fundamental studies on organogenesis, regeneration, diseases, and ageing. In spite of intense research in this field, many unanswered questions remain regarding stem cell regulation and function. The Advances in Stem Cell Biology MOOC was created to provide an overview of stem cell biology, the properties of stem cells and their potential in directing organogenesis and regeneration in different organisms, and how they can be exploited for therapeutic purposes.

During this MOOC you will learn about the characteristics and properties of stem cells, along with the latest discoveries in the field from general concepts to different categories of stem cells, and how they participate in organogenesis in the organism - and in a dish. 

This MOOC is organized in 5 chapters:
1.	General concepts in stem cell biology 
2.	Tissue specific stem cells
3.	Pluripotent stem cells
4.	Organoids
5.	Stem cell applications

Each module is composed of several sessions. In each session, you will find 4 to 6-minute videos and a multiple-choice test to help you check your understanding on the different subjects.",Intermediate Level,4.7,English
inspiring leadership through emotional intelligence,"Emotional intelligence, hope, mindfulness, and compassion help a person reverse the damage of chronic stress and build great leadership relationships. The Positive and Negative Emotional Attractors inspire sustained, desired change and learning at many levels.",Beginner Level,4.7,English
the finite element method for problems in physics,"This course is an introduction to the finite element method as applicable to a range of problems in physics and engineering sciences. The treatment is mathematical, but only for the purpose of clarifying the formulation. The emphasis is on coding up the formulations in a modern, open-source environment that can be expanded to other applications, subsequently.

The course includes about 45 hours of lectures covering the material I normally teach in an
introductory graduate class at University of Michigan. The treatment is mathematical, which is
natural for a topic whose roots lie deep in functional analysis and variational calculus. It is not
formal, however, because the main goal of these lectures is to turn the viewer into a
competent developer of finite element code. We do spend time in rudimentary functional
analysis, and variational calculus, but this is only to highlight the mathematical basis for the
methods, which in turn explains why they work so well. Much of the success of the Finite
Element Method as a computational framework lies in the rigor of its mathematical
foundation, and this needs to be appreciated, even if only in the elementary manner
presented here. A background in PDEs and, more importantly, linear algebra, is assumed,
although the viewer will find that we develop all the relevant ideas that are needed.

The development itself focuses on the classical forms of partial differential equations (PDEs):
elliptic, parabolic and hyperbolic. At each stage, however, we make numerous connections to
the physical phenomena represented by the PDEs. For clarity we begin with elliptic PDEs in
one dimension (linearized elasticity, steady state heat conduction and mass diffusion). We
then move on to three dimensional elliptic PDEs in scalar unknowns (heat conduction and
mass diffusion), before ending the treatment of elliptic PDEs with three dimensional problems
in vector unknowns (linearized elasticity). Parabolic PDEs in three dimensions come next
(unsteady heat conduction and mass diffusion), and the lectures end with hyperbolic PDEs in
three dimensions (linear elastodynamics). Interspersed among the lectures are responses to
questions that arose from a small group of graduate students and post-doctoral scholars who
followed the lectures live. At suitable points in the lectures, we interrupt the mathematical
development to lay out the code framework, which is entirely open source, and C++ based.

Books:
There are many books on finite element methods. This class does not have a required
textbook. However, we do recommend the following books for more detailed and broader
treatments than can be provided in any form of class:

The Finite Element Method: Linear Static and Dynamic Finite Element Analysis, T.J.R.
Hughes, Dover Publications, 2000.

The Finite Element Method: Its Basis and Fundamentals, O.C. Zienkiewicz, R.L. Taylor and
J.Z. Zhu, Butterworth-Heinemann, 2005.

A First Course in Finite Elements, J. Fish and T. Belytschko, Wiley, 2007.

Resources:
You can download the deal.ii library at dealii.org. The lectures include coding tutorials where
we list other resources that you can use if you are unable to install deal.ii on your own
computer. You will need cmake to run deal.ii. It is available at cmake.org.",Intermediate Level,4.7,English
build your first android app (project-centered course),"What you’ll achieve:

In this project-centered course*, you’ll design, build, and distribute your own unique application for the Android mobile platform. We’ll provide you with a set of customizable building blocks that you can assemble to create many different types of apps, and that will help you become familiar with many important specificities of Android development. When you complete the project, in addition to having a personalized app that you can use and share, you’ll have the skills and background you need to move on to more advanced coursework in Android development. 

 What you’ll need to get started:

This project-centered course is designed for learners who have some prior experience programming in Java, such as an introductory college course or Coursera’s Java Programming Specialization (https://www.coursera.org/specializations/java-programming).

You will need a computer with a stable Internet connection, but you will not need an Android phone - we’ll use free software that you can use to emulate a phone on your computer. We'll use Android Studio as IDE; it is compatible with most computer and operating systems. You can find detailed system requirements here: https://developer.android.com/sdk/index.html#Requirements.

*About Project-Centered Courses: Project-centered courses are designed to help you complete a personally meaningful real-world project, with your instructor and a community of learners with similar goals providing guidance and suggestions along the way. By actively applying new concepts as you learn, you’ll master the course content more efficiently; you’ll also get a head start on using the skills you gain to make positive changes in your life and career. When you complete the course, you’ll have a finished project that you’ll be proud to use and share. 

Time: 10 hours of study, 10 hours of active project work",Mixed Level,4.3,English
"anatomy: cardiovascular, respiratory and urinary systems","In this anatomy course, part of the Anatomy Specialization, you will explore the interactive relationships of the cardiovascular, respiratory and urinary systems, and the roles they play in your body.

This course is a primer for the cardiovascular, respiratory, and urinary systems in which students learn the pertinent details of the structures and functions through a combination of lectures, videos, labeling activities and quizzes.",Beginner Level,4.8,English
blockchain platforms,"This fourth course of the Blockchain specialization provides learners with an understanding of the broader blockchain ecosystem. Learners are introduced to other blockchain platforms, details of two decentralized application use cases, and challenges such as privacy and scalability. They are prepared to discuss permissioned blockchain architectures of Hyperledger and Microsoft Azure's blockchain as a service model and analyze the Augur and Grid+ decentralized application platforms. Course material includes emerging alternative decentralization models such as IPFS and Hashgraph, challenges in broader blockchain adoption, and continuous improvement solutions.",Mixed Level,4.6,English
